Query ,Actual closest word ,Predicted closest words,Actual answer index,similarity score
consume:edible::eat:edible,edible,"[('edible', 0.962662935256958), ('snacks', 0.9162442088127136), ('fruit', 0.9043382406234741), ('eat', 0.8425265550613403), ('yolk', 0.8179024457931519), ('botany', 0.8161629438400269), ('plants', 0.813739538192749), ('eggs', 0.808766782283783), ('apple', 0.7940034866333008), ('omelette', 0.7898638844490051)]",1,0.962662935
fruit:apple::furniture:chair,chair,"[('furniture', 0.9122540950775146), ('chair', 0.8668066263198853), ('stairs', 0.8028289675712585), ('empty', 0.7910431027412415), ('forks', 0.7631997466087341), ('lobby', 0.7488237619400024), ('bottom', 0.7469732761383057), ('ladder', 0.7413598299026489), ('sewing', 0.7361530065536499), ('small', 0.7358331680297852)]",2,0.866806626
hotel:lobby::hill:top,top,"[('hill', 0.9427478909492493), ('top', 0.8901345729827881), ('day', 0.8094134330749512), ('road', 0.8081548810005188), ('warm', 0.7978457808494568), ('highway', 0.7908276915550232), ('forks', 0.7792375683784485), ('dim', 0.7753771543502808), ('lobby', 0.7689688801765442), ('stairs', 0.7634029984474182)]",2,0.890134573
snacks:chips::cutlery:forks,forks,"[('cutlery', 0.9041362404823303), ('forks', 0.8230066299438477), ('chips', 0.7942048907279968), ('hammer', 0.7826553583145142), ('spear', 0.7763714790344238), ('screwdriver', 0.7470983266830444), ('knife', 0.7364916801452637), ('elastic', 0.727454662322998), ('tool', 0.7268787622451782), ('sword', 0.7173006534576416)]",2,0.82300663
hour:seconds::feet:inches,inches,"[('feet', 0.8401510715484619), ('inches', 0.7181611657142639), ('skin', 0.7127298712730408), ('bottom', 0.7108787894248962), ('hand', 0.710032045841217), ('stretched', 0.7004982233047485), ('finger', 0.6920670866966248), ('short', 0.6785884499549866), ('morose', 0.6774068474769592), ('burn', 0.6643351316452026)]",2,0.718161166
acceleration:speed::dim:light,light,"[('dim', 0.9323399066925049), ('light', 0.9008070826530457), ('warm', 0.875105619430542), ('speed', 0.8728190064430237), ('smoke', 0.8423246741294861), ('day', 0.8418211936950684), ('fast', 0.8277049660682678), ('road', 0.8132267594337463), ('evening', 0.8066819906234741), ('empty', 0.8040221929550171)]",2,0.900807083
library:book::casino:cards,cards,"[('casino', 0.8684495091438293), ('cards', 0.850983202457428), ('short', 0.7986272573471069), ('wealth', 0.7897692322731018), ('full', 0.7893759608268738), ('raise', 0.7869742512702942), ('numbers', 0.7855566740036011), ('unstable', 0.7847800850868225), ('backward', 0.7835142612457275), ('book', 0.7831698656082153)]",2,0.850983202
harvesting:farming::stitching:sewing,sewing,"[('stitching', 0.9741858243942261), ('sewing', 0.8966856598854065), ('elastic', 0.8665599822998047), ('yarn', 0.8563894033432007), ('spinner', 0.851046085357666), ('cloth', 0.8304818868637085), ('monochromatic', 0.8138797879219055), ('short', 0.8114308714866638), ('botany', 0.8108960390090942), ('small', 0.80549156665802)]",2,0.89668566
heart:beat::fire:burn,burn,"[('fire', 0.9174891114234924), ('burn', 0.87815260887146), ('smoke', 0.8387696743011475), ('light', 0.7952806949615479), ('speed', 0.7749944925308228), ('full', 0.7725407481193542), ('warm', 0.7682594656944275), ('damaged', 0.7605730295181274), ('dim', 0.7569862008094788), ('beat', 0.7501417994499207)]",2,0.878152609
school:students::zoo:animal,animal,"[('zoo', 0.820595383644104), ('animal', 0.8073288798332214), ('students', 0.7872114181518555), ('student', 0.7844277024269104), ('tired', 0.7646734714508057), ('child', 0.764385998249054), ('small', 0.7613136768341064), ('raise', 0.7525502443313599), ('teach', 0.7504850029945374), ('job', 0.7478263974189758)]",2,0.80732888
kid:child::raise:elevate,elevate,"[('raise', 0.9738051891326904), ('elevate', 0.9510495662689209), ('teach', 0.8944723010063171), ('unstable', 0.8930484652519226), ('attract', 0.8920978307723999), ('short', 0.891706109046936), ('backward', 0.8889120817184448), ('finger', 0.8819785118103027), ('hand', 0.8756455779075623), ('forward', 0.8747087717056274)]",2,0.951049566
arrhythmia:heartbeat::pimple:skin,skin,"[('pimple', 0.9101858139038086), ('skin', 0.8790566325187683), ('face', 0.8710801601409912), ('blemish', 0.8660593628883362), ('finger', 0.8567824959754944), ('stretched', 0.8503788709640503), ('burn', 0.8434913754463196), ('laugh', 0.8399357795715332), ('adult', 0.8398063778877258), ('fear', 0.8386625051498413)]",2,0.879056633
army:soldiers::library:books,books,"[('library', 0.9833234548568726), ('books', 0.8583776950836182), ('book', 0.8290247917175293), ('dim', 0.7598781585693359), ('top', 0.7481119632720947), ('lobby', 0.7479745745658875), ('short', 0.7440729141235352), ('hotel', 0.7398760914802551), ('warm', 0.7390221953392029), ('empty', 0.7362059950828552)]",2,0.858377695
crown:royalty::smoke:fire,fire,"[('smoke', 0.9505521655082703), ('fire', 0.8363040685653687), ('burn', 0.8283384442329407), ('light', 0.8224586844444275), ('fear', 0.8203486800193787), ('warm', 0.8128591775894165), ('dim', 0.8086006045341492), ('morose', 0.798783004283905), ('evil', 0.7928898334503174), ('sadness', 0.7909180521965027)]",2,0.836304069
botany:plants::mathematics:numbers,numbers,"[('mathematics', 0.9346738457679749), ('numbers', 0.8691079020500183), ('short', 0.8549002408981323), ('backward', 0.8382955193519592), ('teach', 0.8292479515075684), ('unstable', 0.8271465301513672), ('full', 0.8260313868522644), ('forward', 0.8246858716011047), ('raise', 0.8181103467941284), ('light', 0.8174638152122498)]",2,0.869107902
hand:finger::egg:yolk,yolk,"[('egg', 0.9827222228050232), ('eggs', 0.9613153338432312), ('yolk', 0.9342137575149536), ('apple', 0.8219763040542603), ('small', 0.8071820139884949), ('fruit', 0.8025631308555603), ('edible', 0.8021852374076843), ('finger', 0.8017690777778625), ('full', 0.787068784236908), ('discard', 0.785102903842926)]",3,0.934213758
unstable:fall::fragile:break,break,"[('fragile', 0.8977652788162231), ('fall', 0.8051446676254272), ('break', 0.7690458297729492), ('morose', 0.7513697743415833), ('coward', 0.7462664246559143), ('sadness', 0.7453739047050476), ('good', 0.7415747046470642), ('laugh', 0.7399842143058777), ('deceased', 0.7337998151779175), ('full', 0.7206655144691467)]",3,0.76904583
ocean:Pacific::planet:Earth,Earth,"[('Pacific', 0.8107752799987793), ('planet', 0.8006578683853149), ('Earth', 0.7880107760429382), ('mathematics', 0.5619687438011169), ('nod', 0.5576848983764648), ('acceleration', 0.5486432909965515), ('seconds', 0.5429703593254089), ('inches', 0.5420151948928833), ('light', 0.5411851406097412), ('weapon', 0.5410692691802979)]",3,0.788010776
weapon:spear::bird:robin,robin,"[('bird', 0.9035983085632324), ('feathers', 0.8242019414901733), ('robin', 0.8223280310630798), ('small', 0.8086121678352356), ('animal', 0.7974357008934021), ('plants', 0.7683322429656982), ('botany', 0.7509089708328247), ('warm', 0.7448332905769348), ('spear', 0.7400268316268921), ('zoo', 0.7398790717124939)]",3,0.822328031
mask:face::makeup:blemish,blemish,"[('makeup', 0.9049461483955383), ('face', 0.8067286014556885), ('girl', 0.7960518002510071), ('blemish', 0.7418136596679688), ('woman', 0.7342391014099121), ('hot', 0.6790735125541687), ('adult', 0.6787985563278198), ('skin', 0.6674163937568665), ('pimple', 0.6492770314216614), ('stretched', 0.6415574550628662)]",4,0.74181366
