Query ,Actual closest word ,Predicted closest words,Actual answer index,similarity score
"""laugh:happiness""::""prescription:medication""","medication""","[('medication""', 0.8810579776763916), ('medicine""', 0.8764960169792175), ('""medicine', 0.8690654635429382), ('""happiness', 0.8676939010620117), ('wellness""', 0.8572377562522888), ('heaven""', 0.8467540144920349), ('healthy""', 0.8463422656059265), ('happy""', 0.8461946845054626), ('life""', 0.8456454277038574), ('splurge""', 0.8449176549911499)]",1,0.881057978
"""laugh:happiness""::""entomology:insects""","insects""","[('insects""', 0.8340989947319031), ('""insect', 0.8148254156112671), ('""happiness', 0.81380295753479), ('bugs""', 0.8067906498908997), ('butterfly""', 0.8057724237442017), ('contentedness""', 0.8046334981918335), ('wellness""', 0.8028596639633179), ('honey""', 0.8027462363243103), ('elaborateness""', 0.8022587299346924), ('sweetness""', 0.8020839095115662)]",1,0.834098995
"""laugh:happiness""::""oceanography:oceans""","oceans""","[('oceans""', 0.8439850211143494), ('""happiness', 0.829380214214325), ('ocean""', 0.8267838954925537), ('""biology', 0.8212714791297913), ('geography""', 0.8204617500305176), ('""geography', 0.8191309571266174), ('unhappiness""', 0.8169835209846497), ('""zoology', 0.8162937164306641), ('honestly""', 0.8131738305091858), ('happy""', 0.8116587996482849)]",1,0.843985021
"""laugh:happiness""::""zebra:stripes""","stripes""","[('stripes""', 0.8159512281417847), ('""happiness', 0.7962743043899536), ('happy""', 0.7776615619659424), ('beautiful""', 0.7744855284690857), ('sweetness""', 0.7737133502960205), ('unhappiness""', 0.771294355392456), ('""sweetness', 0.7701016664505005), ('sweet""', 0.7699015140533447), ('animal""', 0.7688192129135132), ('nicely""', 0.7684227228164673)]",1,0.815951228
"""laugh:happiness""::""clambake:clams""","clams""","[('clams""', 0.7870532274246216), ('""happiness', 0.7723414301872253), ('pleasure""', 0.7643232941627502), ('happy""', 0.7597063183784485), ('""sweetness', 0.7582825422286987), ('inexorable""', 0.7555891275405884), ('sweetness""', 0.7554839849472046), ('elaborateness""', 0.7551798820495605), ('plenteousness""', 0.7546532154083252), ('""ineffable', 0.7542462944984436)]",1,0.787053227
"""laugh:happiness""::""stitching:sewing""","sewing""","[('sewing""', 0.8269062042236328), ('""happiness', 0.8158500790596008), ('sewed""', 0.8111686706542969), ('seamstress""', 0.8059501051902771), ('holiness""', 0.8042207956314087), ('sweetness""', 0.8024219870567322), ('""sweetness', 0.8009585738182068), ('contentedness""', 0.8000134229660034), ('healing""', 0.7991794347763062), ('stillness""', 0.7987995743751526)]",1,0.826906204
"""laugh:happiness""::""pitching:baseball""","baseball""","[('baseball""', 0.8455411791801453), ('""happiness', 0.8453390598297119), ('""pitch', 0.8311081528663635), ('pitch""', 0.8282548189163208), ('life""', 0.8278473019599915), ('""pitcher', 0.8267970681190491), ('sweetness""', 0.821974515914917), ('loving""', 0.8218403458595276), ('happy""', 0.8214935064315796), ('football""', 0.8211064338684082)]",1,0.845541179
"""laugh:happiness""::""stretching:exercising""","exercising""","[('exercising""', 0.8262656927108765), ('relaxing""', 0.8258485794067383), ('sweetness""', 0.8242244124412537), ('""happiness', 0.8228909969329834), ('restfulness""', 0.8227069973945618), ('stretched""', 0.8217839598655701), ('stress""', 0.8198831677436829), ('""sweetness', 0.818861186504364), ('fitness""', 0.8186561465263367), ('wellness""', 0.8169562220573425)]",1,0.826265693
"""laugh:happiness""::""pacifist:peace""","peace""","[('peace""', 0.8478730916976929), ('""happiness', 0.8452316522598267), ('peaceful""', 0.8431135416030884), ('""peace', 0.839634895324707), ('placid""', 0.8380578756332397), ('happy""', 0.8343441486358643), ('plenteousness""', 0.8332439064979553), ('contentedness""', 0.8324732780456543), ('restfulness""', 0.8295837640762329), ('beautiful""', 0.8290280699729919)]",1,0.847873092
"""laugh:happiness""::""eat:delicious""","delicious""","[('delicious""', 0.9080737233161926), ('eating""', 0.9065382480621338), ('""eating', 0.9060664176940918), ('""happiness', 0.9052432775497437), ('tasty""', 0.9046157598495483), ('eat""', 0.9030987620353699), ('hungry""', 0.89982008934021), ('satiation""', 0.8998063206672668), ('""delicious', 0.8989118933677673), ('food""', 0.8978934288024902)]",1,0.908073723
