pair1,pair2,cos_image_before_normalization,rho_image_before_normalization,cos_image_after_normalization,rho_image_after_normalization,resnet_cos_image_before_normalization,resnet_rho_image_before_normalization,resnet_cos_image_after_normalization,resnet_rho_image_after_normalization,cos_text_before_normalization,rho_text_before_normalization,cos_text_after_normalization,rho_text_after_normalization,w2v_cos_text_before_normalization,w2v_rho_text_before_normalization,w2v_cos_text_after_normalization,w2v_rho_text_after_normalization,resnet_diff_cos_before_normalization,resnet_diff_rho_before_normalization,resnet_diff_cos_after_normalization,resnet_diff_rho_after_normalization
hour:seconds,feet:inches,44.09714889526367,0.4012172626200203,35.30363845825195,0.4918100223446745,56.2933349609375,0.5911476631476632,50.78229904174805,0.6504458784458784,43.11676788330078,0.2857623868461107,38.93098068237305,0.3012340533125049,58.04637145996094,0.5296546773910836,59.311279296875,0.5160762070295298,12.196186065673828,0.18993040052764293,15.478660583496094,0.1586358561012039
kid:child,raise:elevate,18.00125503540039,0.8003215623247616,18.88040542602539,0.7876761502786646,21.07325935363769,0.9390280710280712,22.39058494567871,0.931696447696448,32.94135284423828,0.3415564811000102,32.315208435058594,0.3496210203018963,76.49401092529297,0.2120777501421074,76.13162231445312,0.2217577215322644,3.072004318237301,0.13870650870330958,3.5101795196533203,0.14402029741778344
library:books,bird:feathers,37.3272819519043,0.5022428717341298,38.59009552001953,0.4998923536008972,59.43136215209961,0.5288396528396528,57.02182769775391,0.5650814170814171,34.487674713134766,0.3644085420457536,36.102333068847656,0.3433277292832538,70.65888214111328,0.3134392521845009,71.56919860839844,0.304083686657034,22.104080200195312,0.026596781105522993,18.431732177734382,0.06518906348051995
weapon:spear,bird:robin,34.68148422241211,0.6095167105835364,35.157562255859375,0.6110264423902222,52.46920776367188,0.5488435648435649,47.503883361816406,0.6108256428256429,42.02214050292969,0.3118230972694293,39.85050964355469,0.3221830797026814,60.76747131347656,0.4757165952799826,60.19532012939453,0.485808331647856,17.787723541259773,-0.06067314573997151,12.346321105957031,-0.00020079956457930148
wash:clean,teach:educated,37.93145751953125,0.4376873083107312,34.60991287231445,0.4748374753951088,47.16819381713867,0.7313209193209194,45.080299377441406,0.7591677871677872,25.78820037841797,0.4318660878795161,27.768739700317383,0.4145276862246941,71.62049102783203,0.2985762516791331,71.49612426757812,0.3024685089110415,9.236736297607422,0.29363361101018814,10.470386505126953,0.2843303117726784
spinner:yarn,weaver:cloth,40.961029052734375,0.5047148049919318,43.288455963134766,0.4809088574747371,61.373348236083984,0.4355555795555796,66.5530014038086,0.3624626424626425,43.07545471191406,0.3351105718062279,42.807498931884766,0.3393669855288907,67.74950408935547,0.3616241595022249,67.47992706298828,0.3675627062354122,20.41231918334961,-0.06915922543635217,23.264545440673828,-0.11844621501209462
hunger:starvation,sadness:depression,36.84771728515625,0.508150370217782,35.51172637939453,0.522503283036358,30.791507720947266,0.8656565416565417,32.275413513183594,0.8516387036387038,27.577241897583008,0.4655551192478914,28.3813419342041,0.4548088078357995,76.17003631591797,0.2439781422787061,77.24803924560547,0.2247518207848504,-6.056209564208984,0.35750617143875973,-3.2363128662109375,0.3291354206023458
crown:royalty,smoke:fire,33.2481575012207,0.5415554439752349,32.943660736083984,0.5394558921561896,58.26968383789063,0.5079533799533801,56.67572784423828,0.5358164958164958,30.976638793945312,0.3216292014282281,33.48735809326172,0.3027669416120209,70.14220428466797,0.3323327584384584,70.73113250732422,0.3218940163221541,25.02152633666993,-0.03360206402185484,23.732067108154297,-0.00363939633969379
fail:succeed,attract:repel,47.563236236572266,0.237009922780696,50.992794036865234,0.2167438788180496,39.70435333251953,0.7514800274800275,46.04094696044922,0.6743585903585904,45.45595550537109,0.2849663935809844,41.58433151245117,0.295385027208432,74.9135513305664,0.2218519197554506,75.83834075927734,0.2078103437185103,-7.858882904052734,0.5144701046993315,-4.951847076416016,0.4576147115405408
tired:exhaustion,morose:sadness,32.08219146728516,0.4392584629381674,28.51024436950684,0.4920497233380254,37.46087265014648,0.7863368703368705,31.90035820007324,0.8462816582816584,30.987642288208008,0.3859540939964065,30.468719482421875,0.3891348483938155,70.55117797851562,0.2884698569841628,70.90663146972656,0.2856787295743127,5.378681182861314,0.3470784073987031,3.390113830566399,0.354231934943633
