pair1,pair2,cos_image_before_normalization,rho_image_before_normalization,cos_image_after_normalization,rho_image_after_normalization,cos_text_before_normalization,rho_text_before_normalization,cos_text_after_normalization,rho_text_after_normalization,w2v_cos_text_before_normalization,w2v_rho_text_before_normalization,w2v_cos_text_after_normalization,w2v_rho_text_after_normalization,w2v_diff_cos_before_normalization,w2v_diff_rho_before_normalization,w2v_diff_cos_after_normalization,w2v_diff_rho_after_normalization,w2v_text_diff_cos_before_normalization,w2v_text_diff_rho_before_normalization,w2v_text_diff_cos_after_normalization,w2v_text_diff_rho_after_normalization
hour:seconds,feet:inches,44.0971489,0.401217263,35.30363846,0.491810022,43.11676788,0.285762387,38.93098068,0.301234053,58.04637146,0.529654677,59.3112793,0.516076207,-13.949222560000003,-0.12843741400000003,-24.00764084,-0.024266184999999996,14.929603580000006,0.24389229,20.380298620000005,0.214842154
kid:child,raise:elevate,18.00125504,0.800321562,18.88040543,0.78767615,32.94135284,0.341556481,32.31520844,0.34962102,76.49401093,0.21207775,76.13162231,0.221757722,-58.49275589,0.588243812,-57.25121688,0.565918428,43.55265809,-0.129478731,43.81641387,-0.12786329800000001
library:books,bird:feathers,37.32728195,0.502242872,38.59009552,0.499892354,34.48767471,0.364408542,36.10233307,0.343327729,70.65888214,0.313439252,71.56919861,0.304083687,-33.33160019,0.18880361999999995,-32.97910309,0.195808667,36.17120743,-0.05096929,35.46686554,-0.039244042000000035
weapon:spear,bird:robin,34.68148422,0.609516711,35.15756226,0.611026442,42.0221405,0.311823097,39.85050964,0.32218308,60.76747131,0.475716595,60.19532013,0.485808332,-26.085987089999996,0.13380011600000002,-25.03775787,0.12521811,18.74533081,0.16389349800000003,20.34481049,0.163625252
wash:clean,teach:educated,37.93145752,0.437687308,34.60991287,0.474837475,25.78820038,0.431866088,27.7687397,0.414527686,71.62049103,0.298576252,71.49612427,0.302468509,-33.689033509999994,0.139111056,-36.88621139999999,0.172368966,45.83229065,-0.133289836,43.72738457,-0.11205917700000001
spinner:yarn,weaver:cloth,40.96102905,0.504714805,43.28845596,0.480908857,43.07545471,0.335110572,42.80749893,0.339366986,67.74950409,0.36162416,67.47992706,0.367562706,-26.78847504,0.14309064500000002,-24.191471099999994,0.113346151,24.67404938,0.026513587999999977,24.672428129999993,0.028195720000000035
hunger:starvation,sadness:depression,36.84771729,0.50815037,35.51172638,0.522503283,27.5772419,0.465555119,28.38134193,0.454808808,76.17003632,0.243978142,77.24803925,0.224751821,-39.322319029999996,0.26417222799999995,-41.736312870000006,0.297751462,48.59279441999999,-0.221576977,48.86669732,-0.23005698700000002
crown:royalty,smoke:fire,33.2481575,0.541555444,32.94366074,0.539455892,30.97663879,0.321629201,33.48735809,0.302766942,70.14220428,0.332332758,70.73113251,0.321894016,-36.894046780000004,0.209222686,-37.787471769999996,0.217561876,39.165565490000006,0.01070355700000003,37.243774419999994,0.01912707400000002
fail:succeed,attract:repel,47.56323624,0.237009923,50.99279404,0.216743879,45.45595551,0.284966394,41.58433151,0.295385027,74.91355133,0.22185192,75.83834076,0.207810344,-27.350315090000002,0.015158003000000003,-24.845546719999994,0.008933534999999992,29.45759582,-0.063114474,34.254009249999996,-0.08757468300000001
tired:exhaustion,morose:sadness,32.08219147,0.439258463,28.51024437,0.492049723,30.98764229,0.385954094,30.46871948,0.389134848,70.55117798,0.288469857,70.90663147,0.28567873,-38.46898651000001,0.150788606,-42.3963871,0.206370993,39.56353569000001,-0.09748423700000003,40.43791198999999,-0.10345611799999999
