Query ,Actual closest word ,Predicted closest words,Actual answer index,similarity score
ocean:Pacific::planet:Earth,Earth,"[('Earth', 0.7880107760429382), ('mathematics', 0.5619687438011169), ('nod', 0.5576848983764648), ('acceleration', 0.5486432909965515), ('seconds', 0.5429703593254089), ('inches', 0.5420151948928833), ('light', 0.5411851406097412), ('weapon', 0.5410692691802979), ('full', 0.5401613712310791), ('repel', 0.5320322513580322)]",1,0.788010776
hour:seconds::feet:inches,inches,"[('inches', 0.7181611657142639), ('skin', 0.7127298712730408), ('bottom', 0.7108787894248962), ('hand', 0.710032045841217), ('stretched', 0.7004982233047485), ('finger', 0.6920670866966248), ('short', 0.6785884499549866), ('morose', 0.6774068474769592), ('burn', 0.6643351316452026), ('unstable', 0.6568915843963623)]",1,0.718161166
school:students::zoo:animal,animal,"[('animal', 0.8073288798332214), ('student', 0.7844277024269104), ('tired', 0.7646734714508057), ('child', 0.764385998249054), ('small', 0.7613136768341064), ('raise', 0.7525502443313599), ('teach', 0.7504850029945374), ('job', 0.7478263974189758), ('elevate', 0.7459266185760498), ('short', 0.7414178848266602)]",1,0.80732888
fruit:apple::furniture:chair,chair,"[('chair', 0.8668066263198853), ('stairs', 0.8028289675712585), ('empty', 0.7910431027412415), ('forks', 0.7631997466087341), ('lobby', 0.7488237619400024), ('bottom', 0.7469732761383057), ('ladder', 0.7413598299026489), ('sewing', 0.7361530065536499), ('small', 0.7358331680297852), ('hammer', 0.7328289747238159)]",1,0.866806626
hotel:lobby::hill:top,top,"[('top', 0.8901345729827881), ('day', 0.8094134330749512), ('road', 0.8081548810005188), ('warm', 0.7978457808494568), ('highway', 0.7908276915550232), ('forks', 0.7792375683784485), ('dim', 0.7753771543502808), ('stairs', 0.7634029984474182), ('empty', 0.7630242705345154), ('plants', 0.7611205577850342)]",1,0.890134573
harvesting:farming::stitching:sewing,sewing,"[('sewing', 0.8966856598854065), ('elastic', 0.8665599822998047), ('yarn', 0.8563894033432007), ('spinner', 0.851046085357666), ('cloth', 0.8304818868637085), ('monochromatic', 0.8138797879219055), ('short', 0.8114308714866638), ('botany', 0.8108960390090942), ('small', 0.80549156665802), ('feathers', 0.8050628304481506)]",1,0.89668566
crown:royalty::smoke:fire,fire,"[('fire', 0.8363040685653687), ('burn', 0.8283384442329407), ('light', 0.8224586844444275), ('fear', 0.8203486800193787), ('warm', 0.8128591775894165), ('dim', 0.8086006045341492), ('morose', 0.798783004283905), ('evil', 0.7928898334503174), ('sadness', 0.7909180521965027), ('speed', 0.7903679013252258)]",1,0.836304069
snacks:chips::cutlery:forks,forks,"[('forks', 0.8230066299438477), ('hammer', 0.7826553583145142), ('spear', 0.7763714790344238), ('screwdriver', 0.7470983266830444), ('knife', 0.7364916801452637), ('elastic', 0.727454662322998), ('tool', 0.7268787622451782), ('sword', 0.7173006534576416), ('chair', 0.7163577675819397), ('cloth', 0.715889573097229)]",1,0.82300663
heart:beat::fire:burn,burn,"[('burn', 0.87815260887146), ('smoke', 0.8387696743011475), ('light', 0.7952806949615479), ('speed', 0.7749944925308228), ('full', 0.7725407481193542), ('warm', 0.7682594656944275), ('damaged', 0.7605730295181274), ('dim', 0.7569862008094788), ('freezing', 0.7494283318519592), ('dirty', 0.7487783432006836)]",1,0.878152609
arrhythmia:heartbeat::pimple:skin,skin,"[('skin', 0.8790566325187683), ('face', 0.8710801601409912), ('blemish', 0.8660593628883362), ('finger', 0.8567824959754944), ('stretched', 0.8503788709640503), ('burn', 0.8434913754463196), ('laugh', 0.8399357795715332), ('adult', 0.8398063778877258), ('fear', 0.8386625051498413), ('hand', 0.8369770646095276)]",1,0.879056633
army:soldiers::library:books,books,"[('books', 0.8583776950836182), ('book', 0.8290247917175293), ('dim', 0.7598781585693359), ('top', 0.7481119632720947), ('lobby', 0.7479745745658875), ('short', 0.7440729141235352), ('hotel', 0.7398760914802551), ('warm', 0.7390221953392029), ('empty', 0.7362059950828552), ('school', 0.7329573035240173)]",1,0.858377695
library:book::casino:cards,cards,"[('cards', 0.850983202457428), ('short', 0.7986272573471069), ('wealth', 0.7897692322731018), ('full', 0.7893759608268738), ('raise', 0.7869742512702942), ('numbers', 0.7855566740036011), ('unstable', 0.7847800850868225), ('backward', 0.7835142612457275), ('performance', 0.7791869640350342), ('forward', 0.7788532972335815)]",1,0.850983202
botany:plants::mathematics:numbers,numbers,"[('numbers', 0.8691079020500183), ('short', 0.8549002408981323), ('backward', 0.8382955193519592), ('teach', 0.8292479515075684), ('unstable', 0.8271465301513672), ('full', 0.8260313868522644), ('forward', 0.8246858716011047), ('raise', 0.8181103467941284), ('light', 0.8174638152122498), ('inches', 0.8130021691322327)]",1,0.869107902
unstable:fall::fragile:break,break,"[('break', 0.7690458297729492), ('morose', 0.7513697743415833), ('coward', 0.7462664246559143), ('sadness', 0.7453739047050476), ('good', 0.7415747046470642), ('laugh', 0.7399842143058777), ('deceased', 0.7337998151779175), ('full', 0.7206655144691467), ('life', 0.7200074195861816), ('joy', 0.7198421359062195)]",1,0.76904583
kid:child::raise:elevate,elevate,"[('elevate', 0.9510495662689209), ('teach', 0.8944723010063171), ('unstable', 0.8930484652519226), ('attract', 0.8920978307723999), ('short', 0.891706109046936), ('backward', 0.8889120817184448), ('finger', 0.8819785118103027), ('hand', 0.8756455779075623), ('forward', 0.8747087717056274), ('coward', 0.8741574287414551)]",1,0.951049566
acceleration:speed::dim:light,light,"[('light', 0.9008070826530457), ('warm', 0.875105619430542), ('smoke', 0.8423246741294861), ('day', 0.8418211936950684), ('fast', 0.8277049660682678), ('road', 0.8132267594337463), ('evening', 0.8066819906234741), ('empty', 0.8040221929550171), ('fire', 0.8029888868331909), ('fear', 0.8013065457344055)]",1,0.900807083
mask:face::makeup:blemish,blemish,"[('girl', 0.7960518002510071), ('blemish', 0.7418136596679688), ('woman', 0.7342391014099121), ('hot', 0.6790735125541687), ('adult', 0.6787985563278198), ('skin', 0.6674163937568665), ('pimple', 0.6492770314216614), ('stretched', 0.6415574550628662), ('bottom', 0.6190659999847412), ('husband', 0.5989460349082947)]",2,0.74181366
life:biography::achievement:trophy,trophy,"[('agreement', 0.7594509124755859), ('trophy', 0.7249247431755066), ('performance', 0.6839771866798401), ('backward', 0.6838343143463135), ('forward', 0.674136221408844), ('attract', 0.6673015356063843), ('sprint', 0.6644728779792786), ('productive', 0.6630305051803589), ('raise', 0.6508551239967346), ('short', 0.6497181057929993)]",2,0.724924743
weapon:spear::bird:robin,robin,"[('feathers', 0.8242019414901733), ('robin', 0.8223280310630798), ('small', 0.8086121678352356), ('animal', 0.7974357008934021), ('plants', 0.7683322429656982), ('botany', 0.7509089708328247), ('warm', 0.7448332905769348), ('zoo', 0.7398790717124939), ('forks', 0.7343652248382568), ('egg', 0.7257652878761292)]",2,0.822328031
hand:finger::egg:yolk,yolk,"[('eggs', 0.9613153338432312), ('yolk', 0.9342137575149536), ('apple', 0.8219763040542603), ('small', 0.8071820139884949), ('fruit', 0.8025631308555603), ('edible', 0.8021852374076843), ('full', 0.787068784236908), ('discard', 0.785102903842926), ('eat', 0.7799193263053894), ('snacks', 0.7782189249992371)]",2,0.934213758
tool:hammer::tool:screwdriver,screwdriver,"[('spear', 0.9175503253936768), ('screwdriver', 0.8864660859107971), ('forks', 0.8786932229995728), ('ladder', 0.862957775592804), ('sword', 0.8569257259368896), ('knife', 0.8412995934486389), ('elastic', 0.8222188949584961), ('spinner', 0.8159470558166504), ('finger', 0.8148057460784912), ('full', 0.8141857385635376)]",2,0.886466086
