Query ,Actual closest word ,Predicted closest words,Actual answer index,similarity score
fragile:unbreakable::hill:top,top,"[('hill', 0.8511406779289246), ('top', 0.8317155838012695), ('day', 0.8092936873435974), ('road', 0.7986800074577332), ('highway', 0.7984957098960876), ('evening', 0.7801500558853149), ('unbreakable', 0.7759801149368286), ('freedom', 0.7731801867485046), ('life', 0.7680110931396484), ('evil', 0.7597302794456482)]",2,0.831715584
school:students::planet:Earth,Earth,"[('planet', 0.8791506290435791), ('Earth', 0.8342494964599609), ('pain', 0.8283734321594238), ('students', 0.8145366907119751), ('hunger', 0.8127918243408203), ('exhaustion', 0.8061983585357666), ('tired', 0.8055979013442993), ('wash', 0.8039962649345398), ('skin', 0.8039924502372742), ('student', 0.8035241961479187)]",2,0.834249496
sprint:fast::hill:top,top,"[('hill', 0.9233216047286987), ('top', 0.8722777366638184), ('highway', 0.8588764667510986), ('road', 0.8544468879699707), ('day', 0.8198542594909668), ('evening', 0.7875891327857971), ('fast', 0.7638953924179077), ('farming', 0.7358057498931885), ('ocean', 0.7342854142189026), ('warm', 0.7271546721458435)]",2,0.872277737
slavery:freedom::dim:light,light,"[('dim', 0.8540862798690796), ('light', 0.8490434288978577), ('freedom', 0.8105395436286926), ('warm', 0.8089359998703003), ('rainbow', 0.7860339879989624), ('life', 0.7852614521980286), ('evening', 0.7818852066993713), ('happiness', 0.7751302719116211), ('speed', 0.7731667757034302), ('day', 0.7706577181816101)]",2,0.849043429
kid:child::villain:evil,evil,"[('villain', 0.9774563312530518), ('morose', 0.9340670108795166), ('evil', 0.9234637022018433), ('sadness', 0.9216029047966003), ('movie', 0.9214178323745728), ('coward', 0.919738233089447), ('big', 0.9179772734642029), ('deceased', 0.9157432913780212), ('nod', 0.9141996502876282), ('lazy', 0.9117419123649597)]",3,0.923463702
omelette:eggs::villain:evil,evil,"[('villain', 0.8225150108337402), ('sadness', 0.8014382719993591), ('evil', 0.7889212965965271), ('morose', 0.7801731824874878), ('skin', 0.77596515417099), ('joy', 0.771116316318512), ('mask', 0.7705124020576477), ('movie', 0.7673941254615784), ('fear', 0.7670097947120667), ('nod', 0.7659478783607483)]",3,0.788921297
road:highway::tool:screwdriver,screwdriver,"[('tool', 0.9808415770530701), ('weapon', 0.8852265477180481), ('screwdriver', 0.8807373046875), ('sewing', 0.8802014589309692), ('forks', 0.8793215155601501), ('knife', 0.8781155943870544), ('cutlery', 0.8704210519790649), ('dirty', 0.8673727512359619), ('clean', 0.8615357279777527), ('short', 0.861427366733551)]",3,0.880737305
deceased:alive::makeup:blemish,blemish,"[('makeup', 0.938877522945404), ('face', 0.876784086227417), ('blemish', 0.8735398650169373), ('skin', 0.8445607423782349), ('pimple', 0.8421661853790283), ('woman', 0.8305923938751221), ('girl', 0.8290737867355347), ('laugh', 0.8289405107498169), ('fear', 0.8079850673675537), ('alive', 0.805969774723053)]",3,0.873539865
retiree:job::egg:yolk,yolk,"[('egg', 0.8981756567955017), ('eggs', 0.8551550507545471), ('job', 0.8132997155189514), ('yolk', 0.7811113595962524), ('tired', 0.7583374381065369), ('apple', 0.7558462619781494), ('pain', 0.7546693682670593), ('student', 0.7496007084846497), ('students', 0.7393026351928711), ('fruit', 0.7336472868919373)]",4,0.78111136
fragile:damaged::eat:edible,edible,"[('eat', 0.8984346389770508), ('consume', 0.8762279748916626), ('hunger', 0.8669945001602173), ('edible', 0.8532550930976868), ('snacks', 0.851517379283905), ('damaged', 0.8421673774719238), ('dirty', 0.8369098901748657), ('omelette', 0.8363423347473145), ('starvation', 0.8321425914764404), ('fruit', 0.822826087474823)]",4,0.853255093
life:biography::bird:robin,robin,"[('bird', 0.7918376326560974), ('agreement', 0.7820442914962769), ('biography', 0.7723857164382935), ('robin', 0.742020308971405), ('acceleration', 0.7309688329696655), ('feet', 0.7298339605331421), ('script', 0.7109919786453247), ('sprint', 0.7021128535270691), ('short', 0.7007508277893066), ('teach', 0.6958646774291992)]",4,0.742020309
hotel:lobby::furniture:chair,chair,"[('furniture', 0.9513839483261108), ('lobby', 0.8829433917999268), ('empty', 0.8463428020477295), ('chair', 0.8249722719192505), ('lazy', 0.7966104745864868), ('stairs', 0.7700519561767578), ('small', 0.7617858052253723), ('dim', 0.7502094507217407), ('hotel', 0.7426037192344666), ('job', 0.7386792898178101)]",4,0.824972272
botany:plants::ladder:stairs,stairs,"[('ladder', 0.9399639368057251), ('forks', 0.7651167511940002), ('spinner', 0.7507345676422119), ('chair', 0.7469911575317383), ('stairs', 0.7449308633804321), ('unstable', 0.7433807849884033), ('weaver', 0.7384904623031616), ('bottom', 0.7357309460639954), ('small', 0.7335715889930725), ('clean', 0.7328567504882812)]",5,0.744930863
forward:backward::pimple:skin,skin,"[('pimple', 0.9713670015335083), ('blemish', 0.958793580532074), ('face', 0.9136718511581421), ('makeup', 0.8994983434677124), ('crying', 0.8792569041252136), ('laugh', 0.8724699020385742), ('skin', 0.8636919260025024), ('abuse', 0.8553812503814697), ('woman', 0.8423600196838379), ('kid', 0.8382872939109802)]",7,0.863691926
day:evening::ocean:water,water,"[('ocean', 0.9763160943984985), ('evening', 0.8854309916496277), ('freedom', 0.8210201859474182), ('life', 0.8201971054077148), ('monochromatic', 0.8118845224380493), ('day', 0.8035902976989746), ('water', 0.8024318814277649), ('warm', 0.7953256964683533), ('happiness', 0.792618989944458), ('succeed', 0.7925176620483398)]",7,0.802431881
hand:finger::pimple:skin,skin,"[('pimple', 0.9680703282356262), ('blemish', 0.9233089089393616), ('face', 0.8682081699371338), ('makeup', 0.8308318257331848), ('crying', 0.821877658367157), ('finger', 0.7875354290008545), ('abuse', 0.7756348252296448), ('skin', 0.7691668272018433), ('woman', 0.7667752504348755), ('laugh', 0.7660276889801025)]",8,0.769166827
hot:cold::good:wrong,wrong,"[('good', 0.8450012803077698), ('cold', 0.8290905952453613), ('employed', 0.8176898956298828), ('discipline', 0.8091233968734741), ('freezing', 0.8088927865028381), ('discard', 0.8048603534698486), ('forward', 0.7977741956710815), ('wrong', 0.797431468963623), ('alive', 0.7949452996253967), ('backward', 0.786203145980835)]",8,0.797431469
discipline:abuse::elastic:stretched,stretched,"[('elastic', 0.8993537425994873), ('abuse', 0.8909318447113037), ('fear', 0.858450710773468), ('sadness', 0.8567111492156982), ('mother', 0.8531978130340576), ('pain', 0.8473432064056396), ('stitching', 0.8444244265556335), ('tired', 0.8441318273544312), ('spinner', 0.8431326150894165), ('stretched', 0.8411712646484375)]",10,0.841171265
crown:royalty::mother:father,father,"[('mother', 0.9303392171859741), ('adult', 0.88603675365448), ('widow', 0.8857672810554504), ('starvation', 0.8769189119338989), ('emotional', 0.8752026557922363), ('husband', 0.8747634291648865), ('abuse', 0.873146653175354), ('exhaustion', 0.8730727434158325), ('deceased', 0.8707202672958374), ('child', 0.8687317371368408)]",13,0.860768378
arrhythmia:heartbeat::rainbow:monochromatic,monochromatic,"[('rainbow', 0.9078819751739502), ('light', 0.8602747917175293), ('speed', 0.8195348978042603), ('beat', 0.8153176307678223), ('heartbeat', 0.814659059047699), ('dim', 0.8111335039138794), ('warm', 0.8039954900741577), ('alive', 0.7797548174858093), ('day', 0.772319495677948), ('fast', 0.7685080170631409)]",13,0.757306218
weapon:spear::mother:father,father,"[('mother', 0.8265339732170105), ('child', 0.7993668913841248), ('crying', 0.7812564373016357), ('kid', 0.7732242941856384), ('adult', 0.7726910710334778), ('girl', 0.7711218595504761), ('abuse', 0.767703652381897), ('laugh', 0.766921877861023), ('baby', 0.7631304264068604), ('exhaustion', 0.7628360390663147)]",15,0.745563447
harvesting:farming::widow:husband,husband,"[('widow', 0.9681713581085205), ('starvation', 0.8984926342964172), ('adult', 0.894834041595459), ('fear', 0.8935651183128357), ('hunger', 0.8929151892662048), ('emotional', 0.8893387317657471), ('deceased', 0.8887304067611694), ('abuse', 0.8885244727134705), ('cold', 0.8866017460823059), ('sadness', 0.8843796253204346)]",15,0.881147921
father:mother::widow:husband,husband,"[('widow', 0.9433742761611938), ('mother', 0.904316782951355), ('abuse', 0.8805581331253052), ('girl', 0.87360680103302), ('adult', 0.8700026869773865), ('exhaustion', 0.8675404787063599), ('tired', 0.8667722940444946), ('hunger', 0.8656227588653564), ('woman', 0.8647345900535583), ('starvation', 0.8614572882652283)]",15,0.847309053
fruit:apple::crying:emotional,emotional,"[('crying', 0.9023467302322388), ('child', 0.8418004512786865), ('kid', 0.8296302556991577), ('laugh', 0.8191592693328857), ('blemish', 0.8122918009757996), ('mother', 0.8101635575294495), ('face', 0.8089084029197693), ('baby', 0.8020954728126526), ('pimple', 0.7963754534721375), ('abuse', 0.7900601625442505)]",18,0.749846339
girl:woman::coward:fear,fear,"[('coward', 0.9845202565193176), ('raise', 0.9363397359848022), ('morose', 0.935036301612854), ('elevate', 0.9256661534309387), ('discard', 0.9245205521583557), ('short', 0.9222362041473389), ('depression', 0.9202207326889038), ('teach', 0.9197416305541992), ('laugh', 0.9174933433532715), ('achievement', 0.9165545701980591)]",19,0.910220027
mask:face::coward:fear,fear,"[('face', 0.8225715756416321), ('woman', 0.7917159795761108), ('blemish', 0.7891741394996643), ('girl', 0.770533561706543), ('crying', 0.7525889873504639), ('pimple', 0.751451849937439), ('makeup', 0.7278760075569153), ('mother', 0.72169429063797), ('abuse', 0.720473051071167), ('laugh', 0.7156181335449219)]",20,0.675258815
library:books::crying:emotional,emotional,"[('crying', 0.817288339138031), ('kid', 0.7631099224090576), ('child', 0.7612252235412598), ('baby', 0.7463678121566772), ('laugh', 0.7445722818374634), ('blemish', 0.7355273365974426), ('face', 0.7271881103515625), ('pimple', 0.7238298058509827), ('mother', 0.7141293883323669), ('makeup', 0.6948099136352539)]",21,0.663177013
freezing:warm::feet:inches,inches,"[('feet', 0.8663079738616943), ('acceleration', 0.8422340154647827), ('arrhythmia', 0.8310304880142212), ('short', 0.8062283396720886), ('achievement', 0.8041550517082214), ('agreement', 0.8029284477233887), ('teach', 0.7969192266464233), ('warm', 0.7949530482292175), ('happiness', 0.7922802567481995), ('depression', 0.7917022109031677)]",23,0.773812294
library:books::mathematics:numbers,numbers,"[('mathematics', 0.8127371072769165), ('cards', 0.7701722383499146), ('arrhythmia', 0.7684757113456726), ('attract', 0.7633323669433594), ('acceleration', 0.7596891522407532), ('employed', 0.759074866771698), ('repel', 0.7556045651435852), ('teach', 0.7555858492851257), ('backward', 0.7549070119857788), ('short', 0.7544454336166382)]",24,0.732973218
sword:knife::crying:emotional,emotional,"[('crying', 0.9260316491127014), ('child', 0.8817703723907471), ('kid', 0.8808327317237854), ('laugh', 0.8631203770637512), ('mother', 0.8557802438735962), ('baby', 0.8441042900085449), ('blemish', 0.8262941241264343), ('abuse', 0.8223949074745178), ('pimple', 0.8180777430534363), ('face', 0.8156639337539673)]",24,0.787675858
wash:dirty::fragile:break,break,"[('fragile', 0.8703898191452026), ('wrong', 0.7618690729141235), ('employed', 0.7457629442214966), ('good', 0.7434487342834473), ('repel', 0.7335460186004639), ('forward', 0.7245721817016602), ('discipline', 0.7188464403152466), ('backward', 0.7109529972076416), ('numbers', 0.7043774127960205), ('productive', 0.703555166721344)]",26,0.652657986
